Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski,Scaffold
C=C1C[C@](OC)([C@H](O)C(=O)N[C@H]2OCO[C@H]3[C@@H]2O[C@H](C[C@H](O)COC)C(C)(C)[C@@H]3OC)O[C@H](C)[C@@H]1C,6.313683333333336,6.104412936507931,6.209048134920634,1,C=C1CCOC(CC(=O)NC2OCOC3CCCOC32)C1
COc1c(OC)c2c(c(CCN(C)C)c1SC)SC(CCNC(=N)N)(C1=NCCc3cc(O)c(O)cc31)S2,6.366157777777782,6.050714556277055,6.208436167027418,1,c1ccc2c(c1)CCN=C2C1Sc2ccccc2S1
CCCCCC1OC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(Cc2ccccc2)N(C)C(=O)C2CCCN2C(=O)C1(C)C,6.184241111111108,6.231856127645501,6.208048619378305,1,O=C1CNC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CCOC(=O)CN1
CCCCC[C@H](O)CC(=O)O[C@H]1C=COC=C2C[C@@]3(SC)C(=O)N4c5c(O)cccc5C[C@@]4(SC)C(=O)N3[C@@H]21,6.248780000000007,6.164328489658484,6.206554244829245,1,O=C1C2CC3=COC=CCC3N2C(=O)C2Cc3ccccc3N12
CC(=O)N[C@H]1[C@H](O[C@@H]2CC3=CC(=O)CC[C@]3(C)C3CC[C@@]4(C)C(CC[C@@H]4[C@H](C)CCC[C@@H](C)COC(C)=O)[C@@H]32)O[C@H](CO)[C@@H](O)[C@@H]1O,6.400349999999999,6.011886051587299,6.206118025793649,1,O=C1C=C2CC(OC3CCCCO3)C3C4CCCC4CCC3C2CC1
CCC[C@H](O)CC[C@@H](C)[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CCO)N(C)C(=O)C2(C)CN(O2)C(=O)[C@H](C)NC(=O)C1(C)C,6.226027777777778,6.184584563492059,6.205306170634919,1,O=C1CCOC(=O)CNC(=O)CNC(=O)C2CN(O2)C(=O)CN1
C#CCCC[C@@H](O)[C@@H](C)[C@@H]1C/C=C(/C)C(=O)O[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N(C)CC(=O)N[C@@H]([C@H](C)CC)C(=O)N(C)[C@@H](C)C(=O)O1,6.320702222222226,6.08313662698412,6.201919424603173,1,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)COC(=O)C=CCCOC(=O)CN1
CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)(C)O)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,6.21817111111111,6.185494831349204,6.201832971230157,1,O=C1CNC(=O)C(Cc2ccccc2)NC(=O)COC(=O)CNC(=O)COC(=O)CN1
COC(=O)[C@@H](CSC[C@H](O)C(=O)OC)N1C(=O)C[C@@H](C)C1=O,6.327687777777781,6.073793382034626,6.200740579906204,0,O=C1CCC(=O)N1
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)C(=O)O)N(C)C,6.07737111111111,6.31961118253968,6.198491146825395,0,
COc1cc(C/C=C\Cc2cc(O)c(Br)c(O)c2)c(O)cc1Br,6.337353888888888,6.057017360750361,6.197185624819625,0,C(=CCc1ccccc1)Cc1ccccc1
C=CC(C)(C)OC[C@@H]1NC(=O)[C@H]([C@@H](C)OC(C)(C)C=C)NC(=O)[C@@H]2CSC(=N2)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)NC1=O,6.195311111111108,6.193516666666662,6.194413888888885,1,O=C1CNC(=O)CNC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1
C=CCCCC1OC(=O)[C@H](C(C)CC)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)NC(=O)C1C,6.272735555555554,6.114934490740738,6.1938350231481465,1,O=C1CCOC(=O)CNC(=O)C2CCCN2C(=O)COC(=O)C(Cc2ccccc2)NC(=O)CN1
CO/C(=C\c1ccc(O)cc1)C(=O)N/C=C/c1cc(Br)c(O)c(Br)c1,6.228403888888888,6.1584762344877335,6.19344006168831,0,O=C(C=Cc1ccccc1)NC=Cc1ccccc1
C=CC(C)(C)OC(C)C1NC(=O)C2CSC(=N2)C(CC(C)C)NC(=O)C(C(C)OC(C)(C)C=C)N2CCCC(NC(=O)C(C(C)C)NC1=O)C2=O,6.22187777777778,6.161455892857139,6.191666835317459,1,O=C1CNC(=O)C2CSC(=N2)CNC(=O)CN2CCCC(NC(=O)CN1)C2=O
O=C(O)/C(Cc1cc(Br)c(OCCC[n+]2ccccc2)c(Br)c1)=N/O,6.17695444444445,6.204941266233768,6.190947855339109,0,c1ccc(OCCC[n+]2ccccc2)cc1
CO[C@@H](C[C@@H](C)[C@@H](O)/C=C/C=C/CNC(=O)C(C)(C)[C@H](O)/C(C)=C/C=C/C=C/C(C)=C(\C)[N+](=O)[O-])[C@]1(O)[C@@H](C)C(=O)N(C)[C@@]12COC2=O,6.062366666666664,6.317717377645498,6.1900420221560815,1,O=C1CCC2(COC2=O)N1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCCNC(=O)C1=NO[C@]3(C=C(Br)C(=O)[C@@H](Br)[C@@H]3O)C1)=NO2,6.343401111111111,6.036101951058197,6.189751531084654,1,O=C1C=CC2(CC1)CC(C(=O)NCCCCNC(=O)C1=NOC3(C=CC=CC3)C1)=NO2
CCC[C@H]1OC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@H](C)Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)OC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)C1(C)C,6.358672222222221,6.019794890873013,6.189233556547617,1,O=C1CCOC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)COC(=O)C2CCCN2C(=O)CN1
Nc1nc(CCNC(=O)C(Cc2cc(Br)c(OCCC[n+]3ccccc3)c(Br)c2)=NO)c[nH]1,6.316613333333333,6.059147718253967,6.18788052579365,1,N=C(Cc1ccc(OCCC[n+]2ccccc2)cc1)C(=O)NCCc1c[nH]cn1
CCCCC[C@H](O)CC(=O)O[C@H]1C=COC=C2C[C@@]3(SC)C(=O)N4[C@H]5C(=COC=C[C@@H]5O)C[C@@]4(SC)C(=O)N3[C@@H]21,6.2056133333333365,6.169467934102929,6.1875406337181325,1,O=C1C2CC3=COC=CCC3N2C(=O)C2CC3=COC=CCC3N12
COC1=C(NCCS(=O)(=O)O)CC(O)(CO)C/C1=N\C(CO)C(=O)O,6.113602222222228,6.256909493145744,6.185255857683986,1,N=C1C=CCCC1
CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,6.338613333333333,6.031833621031747,6.185223477182539,1,O=C1CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(Cc2c[nH]cn2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CN1
C=C1C[C@](OC)([C@H](O)C(=O)N[C@@H](OC)[C@@H]2C[C@@H](O)C(C)(C)[C@@H](C[C@@H](COC)OC)O2)O[C@H](C)[C@@H]1C,6.224183333333335,6.14067305555555,6.182428194444443,1,C=C1CCOC(CC(=O)NCC2CCCCO2)C1
COc1c(O)cc(CCN)c2c1SSc1c(CCN)cc(O)c(OC)c1SS2,6.165990000000003,6.196674677669554,6.181332338834778,0,c1ccc2c(c1)SSc1ccccc1SS2
COC(=O)[C@@]1(O)c2c(oc3cc(CO)cc(O)c3c2=O)CC[C@H]1O,6.104057777777782,6.257451244949498,6.18075451136364,0,O=c1c2c(oc3ccccc13)CCCC2
CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2cnc[nH]2)NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,6.328679999999999,6.031833621031747,6.180256810515873,1,O=C1CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2cnc[nH]2)N1
CC1(C)CCC[C@]2(C)[C@H]3CC/C(=C\OS(=O)(=O)[O-])[C@H](CCc4ccoc4)[C@@]3(C)CC[C@@H]12.Cn1c(N)nc2c(c1=O)[n+](C)cn2C,6.307488888888892,6.050473994708995,6.178981441798944,1,C=C1CCC2C3CCCCC3CCC2C1CCc1ccoc1.O=c1[nH]cnc2[nH]c[nH+]c12
CC(C)C[C@@H]1NC(=O)[C@@H]2C[C@@]3([C@@]45C[C@H]6C(=O)N[C@@H](Cc7ccccc7)C(=O)N6[C@@H]4Nc4ccccc45)c4ccccc4N[C@H]3N2C1=O,6.258252222222223,6.099252761904762,6.178752492063492,1,O=C1NCC(=O)N2C1CC1(C34CC5C(=O)NC(Cc6ccccc6)C(=O)N5C3Nc3ccccc34)c3ccccc3NC21
C=C1CCC[C@@H]2[C@@](C)(CC[C@@]3(C)CCn4c(=O)n(C)c5ncnc(c54)N3OC)[C@H](C)CC[C@@]12C,6.192385555555553,6.164064265873018,6.1782249107142855,1,C=C1CCCC2C(CCC3CCn4c(=O)[nH]c5ncnc(c54)N3)CCCC12
CC(CCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3C[C@H](C)N=C(N1)N32)OC(=O)[C@H]1[C@@H](C)NC2=[N+]3[C@@H](CC[C@@H]13)CC(=O)N2,6.087568888888885,6.268697222222221,6.178133055555553,1,O=C1CC2CCC3C(C(=O)OCCCCCCCCC4CC5CCC6CCN=C(N4)N65)CNC(=[N+]23)N1
COC(C)[C@H]1[C@@H]2[C@H](Cl)[C@H](O)C3C(C[C@H]4/C=C/C(=O)C5=C(O)[C@@H](NC5=O)[C@@H](O)CCNC(=O)/C=C\C[C@H]34)[C@H]2C[C@H]1C,6.193213333333333,6.162655238095237,6.177934285714285,1,O=C1C=CCC2C(C=CC(=O)C3=CC(CCCN1)NC3=O)CC1C3CCCC3CCC21
CCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@H](NC(=O)[C@H](OC)[C@H](O)[C@@H](O)[C@H](O)/C=C/C(C)C)C(=O)N(C)C1,6.032605555555556,6.321400753968248,6.177003154761902,1,O=C1CCCCCN1
