Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C/C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.370700000000002,6.567295522486768,6.468997761243385
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)\C=C(C)/C(C)=C/C=C/C(C)=C\C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.370700000000002,6.567295522486768,6.468997761243385
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.370700000000002,6.567295522486768,6.468997761243385
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C\C=C\C(C)=C\C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.370700000000002,6.567295522486768,6.468997761243385
COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](OC)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C\C=C\C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.369016666666667,6.567295522486768,6.468156094576718
COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](OC)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C\C=C\C(C)=C/C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.369016666666667,6.567295522486768,6.468156094576718
COC[C@H]([C@@H](O)[C@@H](O)C(=O)N[C@@H](C)C[C@@H](C)c1nc(/C=C/C[C@H]2O[C@@]3(C[C@H](O)[C@H]2C)O[C@@H]([C@@H](C[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.3663500000000015,6.567295522486768,6.466822761243385
COC[C@H]([C@@H](O)[C@@H](O)C(=O)N[C@@H](C)C[C@@H](C)c1nc(/C=C/C[C@H]2O[C@@]3(C[C@H](O)[C@H]2C)O[C@@H]([C@@H](C[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C/C#N)OC)[C@@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.3663500000000015,6.567295522486768,6.466822761243385
COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.3663500000000015,6.567295522486768,6.466822761243385
COc1c(O)cc(CO)cc1Br,6.173153333333338,6.753760651154403,6.46345699224387
