Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski
C=CC(C)(C)[C@@]12C[C@@]3(OC)C(=O)N/C(=C/c4cn(C(C)(C)CC(C)=O)cn4)C(=O)N3[C@]1(C)Nc1ccccc12,6.290911111111112,6.466040701058205,6.378475906084658,1
COc1c(Br)cc(CC(O)C(=O)NCCc2ccc(O)c(Br)c2)cc1Br,6.345789999999999,6.40664545400433,6.376217727002165,1
CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@@H](/C=C(\C)C(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)C[S+]2[O-],6.651744444444446,6.098659570105815,6.37520200727513,1
CNCCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccc(O)c(Br)c2)=N/O)cc1Br,6.412706666666661,6.333279206349204,6.3729929365079325,1
C=C1C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N[C@@H](c2ccc(O)cc2)CC(=O)O[C@@H](C)C[C@@H](C)C1=O,6.421683333333334,6.324282962962956,6.372983148148145,1
COC1=C(Br)[C@@H](O)[C@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(C[C@H](C(=O)O)N(C)C)cc1Br)=NO2,6.585096666666668,6.159147705026452,6.37212218584656,1
COC1=C(Br)[C@@H](O)[C@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(C[C@@H](C(=O)O)N(C)C)cc1Br)=NO2,6.585096666666668,6.159147705026452,6.37212218584656,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)N(C)CCc1cc(Br)c(OCCCN(C)C)c(Br)c1)=NO2,6.63523,6.103539742063488,6.369384871031744,1
COc1ccc(C/C(=N\O)C(=O)NC[C@H](O)c2cc(Br)c(OCCCN(C)C)c(Br)c2)cc1Br,6.412123333333332,6.3176366468253935,6.364879990079363,1
CNCCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccccc2)=N/O)cc1Br,6.3629088888888825,6.364054861111107,6.363481874999994,1
