Smiles,Standard Relation,pChEMBL Value
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CN(CCN2CCOCC2)C(=O)N3)sc2ccccc12,'=',7.58
Cc1c(Cl)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,'=',6.37
Cc1c(N2CC(c3nc4ccccc4n3C)CC2=O)cccc1C(F)(F)F,'=',6.2
Cc1c(N2CC(c3nc4ccccc4n3C)CC2=O)cccc1[N+](=O)[O-],'=',5.82
Cc1c(O)cccc1N1CC(c2nc3ccccc3n2C)CC1=O,'=',6.19
Cc1c(Oc2coc(COc3ccccc3)cc2=O)cccc1[N+](=O)[O-],'=',5.45
Cc1cc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc(C)c1O,'=',5.54
Cc1cc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)ccc1O,'=',6.75
Cc1cc(C2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)nc2ccccc12,'=',6.62
Cc1cc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)cnc1N,'=',6.04
Cc1cc(Cl)ccc1Oc1c[nH]c(COc2ccccc2)cc1=O,'=',6.4
Cc1cc(Cl)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,'=',6.96
Cc1cc(Cl)ccc1Oc1cn(C2CC2)c(COc2ccccc2)cc1=O,'=',6.33
Cc1cc(Cl)ccc1Oc1cn(Cc2ccccc2)c(COc2ccccc2)cc1=O,'=',6.19
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccccc2)cc1=O,'=',5.31
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccnc2)cc1=O,'=',5.53
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccco2)cc1=O,'=',5.41
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2cccs2)cc1=O,'=',5.34
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccoc2)cc1=O,'=',5.61
Cc1cc(Cl)ccc1Oc1coc(/C=C/c2ccsc2)cc1=O,'=',5.51
Cc1cc(Cl)ccc1Oc1coc(C=Cc2ccc[nH]2)cc1=O,'=',5.24
Cc1cc(Cl)ccc1Oc1coc(COc2ccccc2)cc1=O,'=',6.35
Cc1ccc(-c2ccccc2)n1CC1CCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC1,'=',4.65
Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)c(O)c1,'=',6.92
Cc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,'=',6.62
Cc1ccc(C2=CC3CN(C(=O)C=Cc4cnc5c(c4)CCC(=O)N5)CC3C2)o1,'=',5.8
Cc1ccc(Cc2nc(-c3ccsc3)no2)cc1,'=',4.29
Cc1ccc(Cc2noc(-c3ccsc3)n2)cc1,'=',4.29
Cc1ccc(Cn2cnc(-c3cccs3)c2)cc1,'=',5.91
Cc1ccc(Cn2cnc(-c3ccsc3)c2)cc1,'=',6.52
Cc1ccc(OCC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)cc1,'=',6.04
Cc1ccc(Oc2c[nH]c(COc3ccccc3)cc2=O)c(C)c1,'=',5.94
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,'=',7.1
Cc1ccc(Oc2cn(C3CC3)c(COc3ccccc3)cc2=O)c(C)c1,'=',5.5
Cc1ccc(Oc2cn(Cc3ccccc3)c(COc3ccccc3)cc2=O)c(C)c1,'=',5.57
Cc1ccc(Oc2coc(/C=C/c3ccccc3)cc2=O)c(C)c1,'=',5.27
Cc1ccc(Oc2coc(/C=C/c3cccnc3)cc2=O)c(C)c1,'=',5.46
Cc1ccc(Oc2coc(/C=C/c3ccoc3)cc2=O)c(C)c1,'=',5.64
Cc1ccc(Oc2coc(COc3ccccc3)cc2=O)c(C)c1,'=',6.42
Cc1cccc(Cl)c1Cc1c(Cl)n(Cc2cccc(Cl)c2)ccc1=O,'=',6.47
Cc1cccc(Cl)c1Cc1c(Cl)n(Cc2cccs2)ccc1=O,'=',6.46
Cc1cccc(Cn2cnc(-c3ccsc3)c2)c1,'=',5.37
Cc1cccc(N2CC(c3nc4ccccc4n3C)CC2=O)c1,'=',5.24
Cc1cccc(N2CC(c3nc4ccccc4n3C)CC2=O)c1Br,'=',5.77
Cc1cccc(N2CC(c3nc4ccccc4n3C)CC2=O)c1C,'=',6.01
Cc1cccc(N2CC(c3nc4ccccc4n3C)CC2=O)c1Cl,'=',5.93
Cc1cccc2c(CN(C)C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12,'=',7.7
Cc1ccccc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.92
Cc1ccccc1Cn1cnc(-c2ccsc2)c1,'=',4.44
Cc1ccccc1N1CC(c2nc3ccccc3n2C)CC1=O,'=',5.62
Cc1ccccc1N1C[C@H]2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C[C@H]2C1,'=',6.03
Cc1ccccc1OCC1CN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)C1,'=',6.75
Cc1csc(C2=CC3CN(C(=O)C=Cc4cnc5c(c4)CCC(=O)N5)CC3C2)c1,'=',5.81
Cc1cscc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.84
Cc1nc(C2CC(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)no1,'=',6.82
Cc1nc(C2CCCCN2C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)no1,'=',5.39
Cc1nc(C2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C2)no1,'=',6.82
Cc1nnc(C2=CC3CN(C(=O)C=Cc4cnc5c(c4)CCC(=O)N5)CC3C2)s1,'=',5.97
Cc1noc(C)c1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.9
Cn1c(C2CC(=O)N(c3ccc(O)c(O)c3)C2)nc2ccccc21,'=',5.29
Cn1c(C2CC(=O)N(c3cccc(Br)c3Cl)C2)nc2ccccc21,'=',6.48
Cn1c(C2CC(=O)N(c3cccc(Br)c3F)C2)nc2ccccc21,'=',6.32
Cn1c(C2CC(=O)N(c3cccc(Br)c3O)C2)nc2ccccc21,'=',5.73
Cn1c(C2CC(=O)N(c3cccc(Cl)c3)C2)nc2ccccc21,'=',5.45
Cn1c(C2CC(=O)N(c3cccc(Cl)c3Br)C2)nc2ccccc21,'=',6.64
Cn1c(C2CC(=O)N(c3cccc(Cl)c3Cl)C2)nc2ccccc21,'=',6.3
Cn1c(C2CC(=O)N(c3cccc(Cl)c3F)C2)nc2ccccc21,'=',6.24
Cn1c(C2CC(=O)N(c3cccc(F)c3Br)C2)nc2ccccc21,'=',5.56
Cn1c(C2CC(=O)N(c3cccc(F)c3F)C2)nc2ccccc21,'=',6.64
Cn1c(C2CC(=O)N(c3cccc4ccccc34)C2)nc2ccccc21,'=',5.97
Cn1cc(C2=CC3CN(C(=O)C=Cc4cnc5c(c4)CCC(=O)N5)CC3C2)cn1,'=',5.81
Cn1cc(Oc2c(Cl)cccc2Cl)c(=O)cc1COc1ccccc1,'=',6.14
Cn1cc(Oc2ccc(Cl)cc2Cl)c(=O)cc1COc1ccccc1,'=',6.92
Cn1cc(Oc2cccc(Cl)c2Cl)c(=O)cc1COc1ccccc1,'=',6.66
Cn1cc(Oc2cccc([N+](=O)[O-])c2Cl)c(=O)cc1COc1ccccc1,'=',6.18
Cn1ccc2c(N3CC(c4nc5ccccc5n4C)CC3=O)cccc21,'=',5.08
Cn1nccc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.91
N#Cc1ccc(C2=CC3CN(C(=O)C=Cc4cnc5c(c4)CCC(=O)N5)CC3C2)s1,'=',5.82
N#Cc1ccccc1C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',6.0
NC(=O)C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.08
NC(=O)C1Cc2cc(=CCC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=NC1=O,'=',6.826666666666667
Nc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,'=',6.0
Nc1ccc(C=CC(=O)N2CC(OCc3ccncc3)C2)cn1,'=',5.75
Nc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,'=',6.17
Nc1ccc(Cn2cnc(-c3ccsc3)c2)cc1,'=',5.69
O=C(Cc1c(F)cccc1Cl)N1CCC(c2ccc3c(c2)OCO3)C1,'=',5.75
O=C(Cc1c(F)cccc1F)N1CCC(c2ccc3c(c2)OCO3)C1,'=',5.64
O=C(Cc1c(F)cccc1F)N1CCC(c2ccccc2)C1,'=',5.72
O=C(Cc1cccc(F)c1F)N1CCC(c2ccc3c(c2)OCO3)C1,'=',5.26
O=C(Cc1cccc(F)c1F)N1CCC(c2ccccc2)C1,'=',5.14
O=C(Cc1ccccc1Cl)N1CCC(c2ccc3c(c2)OCO3)C1,'=',5.6
O=C(Cc1ccccc1Cl)N1CCC(c2ccccc2)C1,'=',4.97
O=C(Cc1ccccc1Cl)N1CCC(c2ccccn2)C1,'=',4.74
O=C(Cc1ccccc1Cl)N1CCC(c2nccs2)C1,'=',5.22
O=C(Cc1ccccc1F)N1CCC(c2ccc3c(c2)OCO3)C1,'=',5.57
O=C(Cc1ccccc1F)N1CCC(c2ccccc2)C1,'=',5.3
O=C(O)c1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,'=',5.06
O=C(c1cc(Cl)cc(Cl)c1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',5.75
O=C(c1ccc(Cl)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',6.75
O=C(c1ccc(Cl)cc1Cl)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',5.75
O=C(c1ccc(Cl)cc1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',6.8
O=C(c1ccc(O)c(Cl)c1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',6.8
O=C(c1ccc(O)cc1)N1CCc2c([nH]c3ccccc23)C1c1ccc(O)cc1,'=',4.55
O=C(c1ccc(O)cc1)N1CCc2c(c3ccccc3n2Cc2ccc(O)cc2)C1,'=',4.49
O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccc(F)cc3)c3ccccc23)C1,'=',6.6
O=C(c1ccc(O)cc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',6.96
O=C(c1cccc(O)c1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',5.47
O=C(c1ccccc1)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',6.31
O=C(c1ccccc1O)N1CCc2c(n(Cc3ccc(O)cc3)c3ccccc23)C1,'=',6.14
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccc(F)cc4)C3)cnc2=N1,'=',6.5
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccc5ccccc5c4)C3)cnc2=N1,'=',5.85
O=C1CCc2cc(=CCC(=O)N3CC(COc4cccc(F)c4)C3)cnc2=N1,'=',6.36
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccccc4)C3)cnc2=N1,'=',6.58
O=C1CCc2cc(=CCC(=O)N3CC(COc4ccccc4F)C3)cnc2=N1,'=',6.42
O=C1CCc2cc(=CCC(=O)N3CC(OCc4ccccc4)C3)cnc2=N1,'=',7.006666666666667
O=C1CCc2cc(=CCC(=O)N3CC(OCc4cccs4)C3)cnc2=N1,'=',7.89
O=C1CCc2cc(=CCC(=O)N3CC(OCc4nccs4)C3)cnc2=N1,'=',7.24
O=C1CCc2cc(=CCC(=O)N3CC(Oc4ccccc4)C3)cnc2=N1,'=',6.0
O=C1CCc2cc(=CCC(=O)N3CC(c4ccccc4)C3)cnc2=N1,'=',6.31
O=C1CCc2cc(=CCC(=O)N3CC(c4ccccn4)C3)cnc2=N1,'=',6.62
O=C1CCc2cc(=CCC(=O)N3CC(c4nc5ccccc5s4)C3)cnc2=N1,'=',6.43
O=C1CCc2cc(=CCC(=O)N3CC4C=C(Cc5ccccc5)CC4C3)cnc2=N1,'=',5.82
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccc(Cl)s5)CC4C3)cnc2=N1,'=',5.63
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccccc5)CC4C3)cnc2=N1,'=',6.08
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccccc5Cl)CC4C3)cnc2=N1,'=',5.75
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccccc5F)CC4C3)cnc2=N1,'=',5.79
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5cccnc5)CC4C3)cnc2=N1,'=',5.97
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5cccnc5Cl)CC4C3)cnc2=N1,'=',5.99
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccco5)CC4C3)cnc2=N1,'=',5.78
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5cccs5)CC4C3)cnc2=N1,'=',6.13
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccncc5)CC4C3)cnc2=N1,'=',5.95
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccoc5)CC4C3)cnc2=N1,'=',5.81
O=C1CCc2cc(=CCC(=O)N3CC4C=C(c5ccsc5)CC4C3)cnc2=N1,'=',5.87
