Smiles,MolLogP,MolWt,NumRotatableBonds,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA10,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14
C=C(CC[C@@H](C(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C)C(C)C,6.683600000000007,426.6410000000002,6,4,0,0,0,0,0.0,9.589074368143644,52.2553232619233,85.48234340509659,0.0,0.0,0.0,0.0,0.0,0.0,52.2553232619233,0.0,11.75255023431679,9.589074368143644,0.0,0.0,0.0,45.92300911926414,103.78001030600389,6.4208216229260096,5.917906046161393,0.0,5.783244946364939,0.0,0.0,5.969305287951849
C=C(CC[C@@H](C)[C@H]1[C@H](O[C@@H]2O[C@@H]([C@@H](O)COC)[C@H](O[C@@H]3O[C@@H]([C@@H](O)COC)[C@H](O)[C@H]3O)[C@H]2O)CC2=C3[C@@H](O)[C@@H](O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,1.5679000000000027,799.0079999999999,15,4,2,0,0,2,0.0,28.421177722800294,40.419511169600526,85.9852589818612,0.0,0.0,0.0,0.0,0.0,0.0,40.419511169600526,27.433359011580905,0.0,0.0,0.0,0.0,0.0,52.34383074219015,97.35918868307789,14.219595082555067,31.52566309227074,54.935697489734714,12.580053458670426,0.0,0.0,0.0
C[C@]12C(=O)O[C@@H]3C=C4COC(=O)C=C4[C@@](C)(C[C@@H]4O[C@@H]41)[C@@H]32,1.1348999999999998,288.299,0,2,3,0,0,2,0.0,23.79966322954379,16.747886984954953,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.0,16.747886984954953,6.606881964512918,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,6.923737199690624,30.56678798958905,17.408916622392056,6.103966387748303,24.2298052094063,0.0,0.0,0.0,11.938610575903699
COC(=O)CCCCCCCC/C=C/c1cc(=O)c(C(N)=O)c[nH]1,2.7808,334.41600000000005,11,0,0,0,1,0,11.162457869062726,9.53140013787187,0.0,67.41848965402536,0.0,6.076020106833881,0.0,0.0,0.0,4.9839785209472085,5.733667477162185,7.109797541277533,17.952505124137236,14.383611552215466,0.0,0.0,0.0,31.75930659853792,25.33848497561191,24.377960257849157,7.109797541277533,5.563451491696996,5.428790391900541,0.0,5.907179729351506,5.969305287951849
C/C=C1\C(=O)/C(=C(/C)[C@@H](C)CCCCCC)C(=O)N1C,3.854300000000003,277.4079999999999,6,0,1,0,0,1,0.0,9.589074368143644,5.917906046161393,59.79905691339255,0.0,0.0,0.0,0.0,0.0,4.899909730850478,5.917906046161393,7.04767198267719,11.690424675716445,9.589074368143644,0.0,0.0,0.0,51.17988552798843,26.18620206846865,7.04767198267719,11.270143843125101,0.0,0.0,5.783244946364939,5.907179729351506,0.0
C=C[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.614800000000004,490.6810000000004,4,4,1,0,0,1,0.0,19.005126045471968,40.419511169600526,85.48234340509659,0.0,0.0,0.0,0.0,0.0,0.0,40.419511169600526,0.0,5.969305287951849,4.794537184071822,0.0,0.0,6.578935683598497,19.92349450621513,105.13064297562525,6.923737199690624,12.207932775496605,12.207932775496605,12.393993117083514,0.0,0.0,5.969305287951849
CCC(C)CN1Cc2c(ccc([C@@]3(C)CCCC(C)(C)C3)c2[C@@H](C)C(=O)O)C1=O,5.734500000000006,399.57500000000016,6,1,1,1,0,0,0.0,16.754284059381177,11.332896515558172,106.612780509795,0.0,0.0,0.0,0.0,0.0,4.899909730850478,11.332896515558172,6.544756405912575,11.876485017303356,9.589074368143644,0.0,0.0,0.0,53.526696312766745,65.69081059697619,18.652964303522147,5.917906046161393,0.0,0.0,0.0,5.907179729351506,5.969305287951849
CC(=O)O[C@@H]1[C@H](Oc2c(C)c3c4c(c2O)[C@@H](C)CC[C@@H]4[C@@H](C)C[C@H]3C=C(C)C)O[C@@H](C)[C@@H](O)[C@H]1O,4.548220000000005,488.6210000000002,4,2,1,1,0,1,4.736862953800049,14.268263091671919,12.841643245852017,100.81241217219393,0.0,0.0,0.0,11.49902366656781,0.0,0.0,5.917906046161393,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,25.496599036284394,81.40148628111568,18.405094737549014,6.103966387748303,12.207932775496605,17.602990054316113,6.290026729335213,0.0,5.969305287951849
CO[C@@]1(C)c2c(C=C(C)C)ccc(C=O)c2C[C@@H]1O,2.700900000000001,260.33299999999997,3,1,0,1,0,0,0.0,16.75873538770975,0.0,47.819554749931676,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,7.109797541277533,12.362180629963436,4.794537184071822,0.0,0.0,0.0,23.781858773826368,37.46156607416286,19.094070655900538,6.103966387748303,11.887211334113243,0.0,0.0,0.0,0.0
CC(c1nccs1)N(C)C(=O)C(C[C@H](C)C(Cl)(Cl)Cl)NC(=O)C[C@H](C)C(Cl)(Cl)Cl,5.940100000000005,546.1750000000001,8,0,0,0,1,0,5.316788604006331,9.589074368143644,11.835812092322787,44.66231937092462,0.0,0.0,0.0,0.0,0.0,15.200676855804016,11.835812092322787,7.04767198267719,92.75678467803283,9.589074368143644,4.9839785209472085,0.0,11.336785877934737,83.45311374077635,13.344558822616634,36.88121204000498,6.041840829147961,11.049464526000726,7.585071871059542,11.814359458703011,0.0,0.0
